order_number,order_line_number,external_order_id,order_date,order_type,order_status,channel,source_system,customer_id,customer_name,customer_po_number,customer_email,customer_phone,sku,item_number,product_name,product_category,subcategory,brand,unit_of_measure,quantity_ordered,quantity_allocated,quantity_shipped,quantity_backordered,unit_price,extended_price,discount_percent,discount_amount,tax_rate,tax_amount,freight_amount,order_total,currency,payment_terms,payment_method,payment_status,invoice_number,invoice_date,warehouse_id,warehouse_location_code,zone,aisle,rack,shelf,bin,ship_to_name,ship_to_address1,ship_to_address2,ship_to_city,ship_to_state,ship_to_postal_code,ship_to_country,carrier,service_level,tracking_number,requested_ship_date,actual_ship_date,created_by,created_timestamp,last_modified_timestamp
SO-2025-000001,1,EXT-RET-25298955,2025-07-21,Sales Order,Delivered,Retail Store,Amazon,CUST-000721,Stephanie Harris 721,,stephanie.harris721@examplecustomer.com,(868) 608-1010,AUD-QUA-G665-BK-0504,ITM-000504,QuantumGear G665-BK Soundbar,Audio,Soundbar,QuantumGear,EA,10,10,10,0,654.82,6548.20,5.00,327.41,8.2500,513.22,0.00,6734.01,USD,Net 15,Wire,Refunded,INV-2025-000001,2025-07-22,WH-MIA-01,Z01-A37-R093-S07-B02,Z01,A37,R093,S07,B02,Stephanie Harris 721,3904 Sunset Ct,,Orlando,FL,32868,USA,DHL,Standard Freight,DH66544809803,2025-07-22,2025-07-28,mchen,2025-07-21 07:58:00,2025-07-29 16:58:00
SO-2025-000002,1,EXT-RET-20542342,2025-06-24,Sales Order,Delivered,Retail Store,Manual Entry,CUST-000281,Robert Torres,,robert.torres281@examplecustomer.com,(538) 910-8591,STO-VOL-A656-WH-0103,ITM-000103,VoltEdge A656-WH External HDD,Storage,External HDD,VoltEdge,EA,2,2,2,0,565.77,1131.54,0.00,0.00,6.0000,67.89,49.99,1249.42,USD,Credit Card,Net Terms,Invoiced,INV-2025-000002,2025-06-27,WH-MIA-01,Z11-A27-R083-S06-B01,Z11,A27,R083,S06,B01,Robert Torres,8004 Madison Ave,,Jacksonville,FL,32237,USA,XPO,Ground,XP37160465702,2025-06-25,2025-07-01,edi_user,2025-06-24 04:22:00,2025-06-27 12:07:00
SO-2025-000003,1,EXT-E-C-81773913,2025-02-27,Sales Order,Picked,E-commerce,ERP,CUST-000486,Sarah Taylor 486,PO-993990,sarah.taylor486@examplecustomer.com,(352) 738-4523,CAB-APE-P423-BK-0777,ITM-000777,ApexTech P423-BK HDMI Cable,Cable,HDMI Cable,ApexTech,EA,3,3,0,0,38.79,116.37,20.00,23.27,6.0000,5.59,0.00,98.69,USD,ACH Prepaid,PayPal,Paid,INV-2025-000003,2025-02-28,WH-MIA-01,Z03-A18-R081-S07-B01,Z03,A18,R081,S07,B01,Sarah Taylor 486,504 Lincoln Ln,,Chicago,IL,60670,USA,UPS,2-Day,UP44831220236,2025-03-01,2025-03-05,mchen,2025-02-27 03:02:00,2025-03-05 06:55:00
SO-2025-000004,1,EXT-MAR-97069583,2025-03-11,Sales Order,Shipped,Marketplace,Shopify,CUST-000398,Brian Wright,PO-558653,brian.wright398@examplecustomer.com,(842) 503-2652,MON-NOV-P337-BK-0051,ITM-000051,NovaVision P337-BK LED Monitor,Monitor,LED Monitor,NovaVision,EA,4,4,4,0,473.42,1893.68,10.00,189.37,0.0000,0.00,9.99,1714.30,USD,Credit Card,Amex,Authorized,INV-2025-000004,2025-03-14,WH-MIA-01,Z10-A29-R047-S05-B01,Z10,A29,R047,S05,B01,Brian Wright,6321 Magnolia Way,,Miami,FL,33134,USA,UPS,2-Day,UP30731413675,2025-03-15,2025-03-12,system,2025-03-11 23:34:00,2025-03-13 10:40:00
SO-2025-000005,1,EXT-E-C-70845265,2025-04-04,Sales Order,Shipped,E-commerce,Amazon,CUST-000326,Carol Carter,,carol.carter326@examplecustomer.com,(732) 789-6064,ACC-BRI-N682-PRO-0176,ITM-000176,BrightView N682-PRO USB Hub,Accessory,USB Hub,BrightView,EA,1,1,1,0,260.19,260.19,0.00,0.00,0.0000,0.00,12.99,273.18,USD,Net 15,Net Terms,Authorized,INV-2025-000005,2025-04-06,WH-MIA-01,Z07-A32-R053-S02-B03,Z07,A32,R053,S02,B03,Carol Carter,1229 Flagler Dr,,Jacksonville,FL,32293,USA,Old Dominion,Ground,OL42754489266,2025-04-07,2025-04-07,shopify_api,2025-04-04 23:56:00,2025-04-09 14:07:00
SO-2025-000006,1,EXT-B2B-73727221,2025-07-24,Sales Order,Processing,B2B,Shopify,CUST-000978,Robert Nelson,PO-408932,robert.nelson978@examplecustomer.com,(830) 496-9053,MON-ZEN-A110-MAX-0670,ITM-000670,Zenith Digital A110-MAX 4K Monitor,Monitor,4K Monitor,Zenith Digital,EA,100,100,0,0,1016.14,101614.00,10.00,10161.40,7.0000,6401.68,99.99,97954.27,USD,COD,Wire,Invoiced,INV-2025-000006,2025-07-24,WH-MIA-01,Z14-A39-R027-S04-B02,Z14,A39,R027,S04,B02,Robert Nelson,2129 Lincoln Ave,,Boston,MA,02146,USA,USPS,Economy,,2025-07-26,,mchen,2025-07-24 04:45:00,2025-07-24 21:25:00
SO-2025-000007,1,EXT-E-C-92597118,2025-11-12,Sales Order,Shipped,E-commerce,Shopify,CUST-001067,Elizabeth Lewis,,elizabeth.lewis1067@examplecustomer.com,(274) 414-2590,MOU-QUA-R629-MAX-0974,ITM-000974,QuantumGear R629-MAX Bluetooth Mouse,Mouse,Bluetooth Mouse,QuantumGear,EA,3,3,3,0,127.99,383.97,0.00,0.00,7.5000,28.80,49.99,462.76,USD,Net 45,Amex,Paid,INV-2025-000007,2025-11-13,WH-MIA-01,Z11-A13-R085-S02-B02,Z11,A13,R085,S02,B02,Elizabeth Lewis,5151 Ocean Ave,,Dallas,TX,75206,USA,USPS,Ground,US37907273398,2025-11-15,2025-11-19,edi_user,2025-11-12 10:17:00,2025-11-13 02:16:00
SO-2025-000008,1,EXT-B2B-14562957,2025-09-23,Sales Order,Packed,B2B,Amazon,CUST-000517,Robert White,PO-454322,robert.white517@examplecustomer.com,(951) 799-4064,COM-COR-P209-PLUS-0959,ITM-000959,CoreByte P209-PLUS Laptop,Computer,Laptop,CoreByte,EA,1,1,0,0,1583.40,1583.40,0.00,0.00,0.0000,0.00,7.99,1591.39,USD,ACH Prepaid,Visa,Authorized,INV-2025-000008,2025-09-25,WH-MIA-01,Z08-A23-R078-S05-B04,Z08,A23,R078,S05,B04,Robert White,5266 Pine St,Dock 11,Los Angeles,CA,90083,USA,Old Dominion,Standard Freight,OL21514394284,2025-09-27,2025-09-25,edi_user,2025-09-23 13:25:00,2025-10-02 18:44:00
SO-2025-000009,1,EXT-RET-89401494,2025-12-18,Sales Order,Processing,Retail Store,Shopify,CUST-001126,Joseph Perez 1126,,joseph.perez1126@examplecustomer.com,(344) 736-2264,KEY-APE-N219-PRO-0924,ITM-000924,ApexTech N219-PRO Wireless Keyboard,Keyboard,Wireless Keyboard,ApexTech,EA,1,1,0,0,30.14,30.14,0.00,0.00,8.7500,2.64,9.99,42.77,USD,COD,Visa,Refunded,INV-2025-000009,2025-12-21,WH-MIA-01,Z19-A36-R012-S05-B01,Z19,A36,R012,S05,B01,Joseph Perez 1126,4769 Cypress Ter,,Tampa,FL,33669,USA,FedEx,Standard Freight,,2025-12-22,,jmartinez,2025-12-18 23:01:00,2025-12-20 19:18:00
SO-2025-000010,1,EXT-WHO-84432269,2025-05-15,Return Exchange,Allocated,Wholesale,EDI,CUST-000341,Karen Moore,PO-238921,karen.moore341@examplecustomer.com,(879) 245-5810,KEY-SIG-P440-PLUS-0648,ITM-000648,SignalMax P440-PLUS Wireless Keyboard,Keyboard,Wireless Keyboard,SignalMax,EA,2,2,0,0,183.91,367.82,0.00,0.00,7.0000,25.75,99.99,493.56,USD,ACH Prepaid,Wire,Authorized,INV-2025-000010,2025-05-16,WH-MIA-01,Z08-A04-R060-S01-B04,Z08,A04,R060,S01,B04,Karen Moore,783 Sunset Ct,,Charlotte,NC,28245,USA,FedEx,Standard Freight,,2025-05-20,,jmartinez,2025-05-15 22:32:00,2025-05-20 17:47:00
